insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('2','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('3','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('4','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('5','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('6','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('7','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('8','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('9','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('10','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('11','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('12','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('13','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('14','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('15','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('16','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('17','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('18','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('19','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('20','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('21','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('22','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('23','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('24','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('25','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('26','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('27','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('28','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('29','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('30','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('31','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('32','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('33','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('34','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('35','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('36','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('37','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('38','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('39','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('40','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('41','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('42','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('43','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('44','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('45','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('46','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('47','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('48','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('49','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('50','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('51','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('52','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('53','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('54','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('55','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('56','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('57','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('58','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('59','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('60','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('61','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('62','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('63','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('64','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('65','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('66','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('67','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('68','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('69','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('70','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('71','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('72','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('73','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('74','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('75','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('76','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('77','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('78','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('79','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('80','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('81','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('82','NO','N0','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('83','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('84','NO','YES','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('85','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('86','NO','NO','YES','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('87','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('88','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('89','NO','YES','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('90','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('91','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('92','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('93','NO','NO','N0','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('94','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('95','YES','NO','N0','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('96','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('97','YES','NO','NO','N0'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('98','NO','N0','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('99','N0','NO','YES','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('100','N0','NO','NO','YES'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('101','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('102','N0','YES','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('103','YES','N0','NO','NO'); 
 insert into payment(Transaction_id,UPI,Creditcard,Debitcard,Cash) values('104','NO','YES','N0','NO'); 
