Age_Category,Food_Item,Decision
Young,Pizza,YES
Adult,Pizza,YES
Adult,Burger,NO
Senior,Pizza,NO
Senior,Pizza,YES
Young,Hamburger,YES
Adult,Burger,NO
Young,Pizza,NO
Adult,Burger,YES
Young,Pasta,NO
Young,Pasta,YES
Young,Pizza,YES
Young,Pasta,NO
Young,Pasta,YES
Adult,Popcorn,NO
Senior,Pasta,NO
Young,Burger,NO
Senior,Pizza,NO
Young,Burger,YES
Young,Popcorn,YES
Young,Popcorn,YES
Young,Hamburger,YES
Adult,Popcorn,YES
Young,Hamburger,NO
Young,Burger,YES
Adult,Hamburger,NO
Adult,Pasta,YES
Senior,Popcorn,YES
Senior,Burger,NO
Adult,Pizza,NO
Adult,Burger,NO
Senior,Hamburger,YES
Adult,Hamburger,YES
Senior,Burger,YES
Senior,Hamburger,YES
Young,Pizza,NO
Adult,Pizza,YES
Young,Popcorn,NO
Senior,Hamburger,NO
Adult,Hamburger,YES
Senior,Popcorn,YES
Young,Hamburger,NO
Adult,Pasta,YES
Adult,Popcorn,NO
Young,Burger,YES
Adult,Pizza,NO
Adult,Pasta,YES
Young,Pizza,NO
Young,Popcorn,YES
Young,Pizza,NO
Senior,Pasta,NO
Senior,Pizza,NO
Young,Pasta,NO
Adult,Pasta,NO
Adult,Hamburger,YES
Senior,Burger,NO
Senior,Pizza,NO
Senior,Pasta,YES
Senior,Pizza,YES
Senior,Popcorn,NO
Young,Pasta,YES
Adult,Burger,YES
Adult,Pizza,YES
Young,Pizza,YES
Young,Pizza,YES
Adult,Popcorn,NO
Young,Burger,NO
Young,Hamburger,NO
Young,Pasta,NO
Senior,Pizza,NO
Senior,Popcorn,NO
Adult,Hamburger,YES
Young,Pizza,YES
Adult,Hamburger,YES
Senior,Burger,NO
Senior,Pasta,NO
Adult,Pasta,YES
Adult,Burger,YES
Adult,Hamburger,NO
Senior,Pizza,YES
Senior,Pizza,NO
Senior,Pizza,NO
Adult,Pizza,YES
Adult,Pizza,NO
Adult,Pizza,NO
Young,Pizza,NO
Young,Pizza,YES
Young,Hamburger,NO
Young,Pizza,NO
Young,Pasta,YES
Young,Hamburger,YES
Adult,Popcorn,NO
Senior,Pizza,YES
Young,Pizza,NO
Young,Pasta,NO
Young,Pizza,YES
Senior,Pizza,YES
Adult,Pasta,NO
Adult,Popcorn,NO
Senior,Hamburger,NO
Young,Burger,NO
Adult,Pasta,YES
Adult,Burger,YES
Senior,Popcorn,NO
Adult,Hamburger,NO
Adult,Pizza,YES
Adult,Popcorn,YES
Senior,Burger,NO
Senior,Popcorn,NO
Adult,Hamburger,NO
Senior,Pizza,YES
Adult,Popcorn,NO
Adult,Popcorn,NO
Young,Hamburger,NO
Young,Pasta,YES
Senior,Pizza,YES
Young,Hamburger,YES
Senior,Pasta,NO
Senior,Popcorn,NO
Young,Pizza,NO
Senior,Hamburger,NO
Young,Popcorn,NO
Young,Hamburger,YES
Adult,Hamburger,YES
Young,Pasta,NO
Adult,Pizza,NO
Senior,Pizza,NO
Young,Popcorn,YES
Senior,Burger,YES
Young,Popcorn,NO
Young,Pizza,YES
Senior,Hamburger,YES
Adult,Pasta,YES
Senior,Burger,YES
Adult,Popcorn,NO
Adult,Popcorn,NO
Adult,Hamburger,YES
Adult,Hamburger,YES
Young,Pasta,YES
Adult,Hamburger,NO
Senior,Pizza,YES
Young,Pasta,NO
Young,Pasta,YES
Senior,Pizza,YES
Young,Pasta,NO
Adult,Pizza,YES
Adult,Pasta,NO
Young,Popcorn,YES
Adult,Popcorn,YES
Young,Popcorn,NO
Young,Pizza,NO
Adult,Pasta,NO
Adult,Hamburger,YES
Young,Burger,NO
Senior,Pizza,NO
Adult,Hamburger,NO
Senior,Pasta,YES
Adult,Burger,NO
Young,Pizza,YES
Young,Popcorn,NO
Adult,Pasta,YES
Senior,Pizza,YES
Senior,Hamburger,NO
Adult,Hamburger,NO
Young,Pizza,NO
Senior,Hamburger,NO
Young,Pasta,NO
Senior,Pasta,YES
Adult,Pasta,NO
Young,Hamburger,NO
Senior,Popcorn,NO
Adult,Hamburger,YES
Adult,Popcorn,YES
Senior,Pasta,NO
Adult,Popcorn,YES
Young,Pizza,YES
Adult,Pizza,YES
Young,Pizza,NO
Senior,Burger,YES
Senior,Pizza,YES
Adult,Popcorn,NO
Senior,Hamburger,NO
Adult,Hamburger,YES
Adult,Hamburger,NO
Young,Popcorn,NO
Young,Pizza,NO
Adult,Pasta,NO
Senior,Pasta,NO
Senior,Pasta,YES
Adult,Pizza,YES
Adult,Hamburger,YES
Adult,Pasta,YES
Adult,Burger,NO
Young,Hamburger,NO
Senior,Hamburger,YES
Senior,Burger,YES
Senior,Hamburger,YES
Senior,Pizza,NO
Adult,Pasta,NO
Adult,Pizza,NO
Young,Burger,YES
Senior,Burger,NO
Young,Pizza,YES
Senior,Popcorn,NO
Adult,Pasta,NO
Adult,Burger,NO
Adult,Pizza,YES
Adult,Burger,NO
Young,Popcorn,NO
Adult,Pasta,NO
Young,Popcorn,YES
Young,Pizza,YES
Adult,Popcorn,YES
Adult,Pasta,NO
Senior,Hamburger,YES
Adult,Pasta,YES
Young,Pasta,YES
Young,Pizza,YES
Adult,Popcorn,NO
Adult,Hamburger,NO
Young,Hamburger,YES
Adult,Pasta,NO
Senior,Pasta,NO
Adult,Pizza,NO
Senior,Pizza,NO
Adult,Pizza,YES
Senior,Popcorn,NO
Adult,Burger,NO
Adult,Pizza,NO
Adult,Hamburger,NO
Adult,Pizza,YES
Adult,Hamburger,NO
Senior,Burger,NO
Senior,Pizza,YES
Young,Burger,NO
Senior,Pizza,NO
Senior,Pasta,YES
Adult,Pizza,NO
Senior,Burger,NO
Senior,Pasta,NO
Senior,Burger,NO
Senior,Pizza,YES
Senior,Pizza,YES
Adult,Popcorn,NO
Young,Popcorn,NO
Young,Hamburger,YES
Adult,Popcorn,YES
Young,Pasta,YES
Young,Pizza,NO
Adult,Pizza,YES
Adult,Burger,NO
Adult,Burger,NO
Senior,Pasta,NO
Senior,Hamburger,YES
Young,Popcorn,NO
Young,Burger,YES
Senior,Popcorn,NO
Senior,Hamburger,YES
Adult,Popcorn,YES
Young,Pizza,NO
Young,Pasta,YES
Adult,Popcorn,YES
Adult,Hamburger,NO
Senior,Burger,NO
Senior,Hamburger,NO
Adult,Pizza,NO
Young,Burger,NO
Young,Hamburger,NO
Young,Hamburger,YES
Senior,Popcorn,YES
Young,Burger,NO
Young,Hamburger,NO
Adult,Pizza,NO
Senior,Burger,YES
Senior,Pizza,YES
Senior,Popcorn,YES
Adult,Hamburger,NO
Young,Popcorn,NO
Senior,Popcorn,NO
Adult,Popcorn,YES
Senior,Pizza,YES
Adult,Hamburger,NO
Young,Pasta,YES
Senior,Pizza,NO
Adult,Hamburger,YES
Young,Burger,NO
Senior,Hamburger,YES
Senior,Pizza,YES
Young,Burger,NO
Adult,Burger,YES
Senior,Pasta,NO
Adult,Burger,YES
Young,Popcorn,NO
Young,Burger,NO
Young,Hamburger,YES
Adult,Pasta,YES
Senior,Burger,NO
Adult,Burger,NO
Senior,Hamburger,YES
Senior,Pizza,NO
Young,Popcorn,NO
Senior,Pasta,NO
Adult,Pizza,YES
Adult,Hamburger,NO
Senior,Pizza,NO
Adult,Pasta,NO
Young,Pasta,YES
Young,Popcorn,YES
Adult,Pizza,NO
Adult,Pizza,YES
Adult,Pizza,YES
Adult,Popcorn,NO
Senior,Pizza,YES
Young,Hamburger,YES
Adult,Hamburger,YES
Senior,Pasta,NO
Young,Hamburger,NO
Adult,Pizza,NO
Adult,Pizza,YES
Adult,Pasta,YES
Senior,Pasta,NO
Senior,Pizza,YES
Adult,Pizza,NO
Senior,Burger,NO
Young,Popcorn,YES
Senior,Pasta,NO
Adult,Pizza,NO
Senior,Pasta,YES
Young,Pasta,NO
Young,Burger,NO
Senior,Pizza,NO
Senior,Burger,NO
Senior,Pizza,YES
Young,Burger,NO
Senior,Popcorn,YES
Adult,Popcorn,NO
Adult,Pasta,NO
Senior,Hamburger,YES
Young,Pasta,YES
Senior,Popcorn,YES
Young,Hamburger,YES
Young,Burger,YES
Senior,Pasta,NO
Adult,Popcorn,YES
Young,Hamburger,NO
Young,Popcorn,YES
Senior,Pasta,NO
Senior,Hamburger,NO
Senior,Pasta,NO
Young,Burger,NO
Senior,Pasta,YES
Senior,Pasta,YES
Adult,Hamburger,YES
Adult,Burger,NO
Young,Hamburger,YES
Senior,Hamburger,YES
Adult,Hamburger,NO
Senior,Pizza,YES
Young,Popcorn,YES
Senior,Burger,NO
Young,Hamburger,NO
Adult,Pizza,YES
Senior,Popcorn,YES
Adult,Pizza,NO
Senior,Pasta,NO
Adult,Burger,YES
Adult,Hamburger,YES
Young,Popcorn,YES
Young,Pasta,NO
Adult,Hamburger,YES
Adult,Pasta,NO
Adult,Pasta,NO
Adult,Hamburger,YES
Senior,Pasta,YES
Young,Pizza,NO
Senior,Popcorn,YES
Adult,Popcorn,NO
Senior,Pizza,YES
Adult,Hamburger,NO
Young,Pizza,NO
Senior,Popcorn,YES
Senior,Pasta,NO
Adult,Pizza,YES
Senior,Pizza,NO
Senior,Burger,NO
Young,Popcorn,NO
Young,Burger,YES
Adult,Pizza,YES
Young,Burger,NO
Adult,Burger,NO
Young,Hamburger,NO
Young,Pasta,NO
Adult,Hamburger,YES
Young,Hamburger,YES
Adult,Pasta,NO
Senior,Pasta,YES
Senior,Pasta,YES
Senior,Pasta,NO
Young,Pasta,YES
Adult,Hamburger,NO
Adult,Pizza,YES
Adult,Hamburger,NO
Young,Hamburger,NO
Young,Popcorn,YES
Young,Popcorn,NO
Young,Popcorn,YES
Senior,Popcorn,YES
Adult,Popcorn,YES
Young,Pizza,YES
Adult,Pizza,YES
Senior,Burger,NO
